Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,3391.965,14.0,Team Actions,333,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,3394.965,14.0,Team Actions,334,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,3397.965,14.0,Team Actions,335,,,,,,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,,,,
Individual XML,3399.765,14.0,Team Actions,336,,CD Gold Zone,CO Zone THREE C,Teammate Found,Whipped,,,,,,,,,,,,,Below,,,,,,,,,,,,
Individual XML,3403.245,14.0,Team Actions,337,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,SHOT ASSIST,,,,,
Individual XML,3405.285,14.0,Team Actions,338,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,3419.17,14.0,Team Actions,339,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,3421.21,14.0,Team Actions,340,,,,,,,,,,,,,,,Complete,,Around,Seam 1,,,,,,,,,,,,
Individual XML,3423.37,14.0,Team Actions,341,,,,,,,,,,,,,,,Complete,,Through,Seam 2,,,,,,,,,,,,
Individual XML,3425.41,14.0,Team Actions,342,,,,,,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,,,,
Individual XML,3426.25,14.0,Team Actions,343,,,,,,,,Fouled,,,,,,,,,,Below,,,,,,,,,,,,
Individual XML,3755.4919614512473,14.0,Team Actions,344,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Through,,,,,,,,,,,,,
Individual XML,3757.171961451247,14.0,Team Actions,345,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,3759.4519614512474,14.0,Team Actions,346,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3761.0119614512473,14.0,Team Actions,347,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3764.851961451247,14.0,Team Actions,348,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,3767.251961451247,12.760000000000218,Team Actions,349,,,,,,,,,,,,,,,Complete,,Over,,,,,,,,,,,,,
