Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,5632.793321921768,14.0,Team Actions,472,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Seam 1,,,,,,,,,,,,
Individual XML,5636.573310632086,14.0,Team Actions,473,,,,,,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,Seam 2,,,,,,,,,,,,
Individual XML,5655.05331053288,14.0,Team Actions,474,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Over,,,,,,,,,,,,,
Individual XML,5657.22329930839,14.0,Team Actions,475,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5662.033287953514,14.0,Team Actions,476,,,,,,Ground Duel +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5664.673287939342,14.0,Team Actions,477,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,5666.953287926587,14.0,Team Actions,478,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,5669.473287913832,8.0,Team Actions,479,,CD Gold Zone,CO Zone XAR,Teammate Not Found,Cut Back,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,5678.113287867063,14.0,Team Actions,480,,,,,,INTERCEPTION +,,,,,,,,Pass into box,Complete,Complete,Through,,,,,,,,SHOT ASSIST,,,,,
Individual XML,5680.393287854308,14.0,Team Actions,481,,,,,,,,,,,,,,,,,,Seam 2,,,,,SL Zone 00 L,,SHOT,,,,,
Individual XML,5683.5132878387185,8.0,Team Actions,482,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5688.433287811791,14.0,Team Actions,483,,CD Zone 00 L,CO Zone FOUR C R,Teammate Not Found,Floated,,,,,,,,,,,,,Below,,,,,,,,,,,,
Individual XML,5695.513287773526,14.0,Team Actions,484,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5696.443276643991,14.0,Team Actions,485,,,,,,,,,,,,,,Pass into box,Complete,Complete,Through,Seam 2,,,,,,,SHOT ASSIST,,,,,
Individual XML,5698.123276638322,14.0,Team Actions,486,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,5702.923276612812,8.0,Team Actions,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5753.304977297335,14.0,Team Actions,488,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5758.944977267573,14.0,Team Actions,489,,,,,,,,,,,,,,,,,,Below,,,,,,,,,TURNOVER,,,
Individual XML,5765.064977234977,14.0,Team Actions,490,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5766.354954614512,14.0,Team Actions,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5768.274954604592,14.0,Team Actions,492,,,,,,,,,,,,,,,Complete,,Around,Seam 1,,,,,,,,,,,,
Individual XML,5775.114954567744,8.0,Team Actions,493,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,5778.954954547902,14.0,Team Actions,494,,,CO Zone XAR,Teammate Not Found,Cut Back,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,5797.794954445862,14.0,Team Actions,495,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,5799.114954438775,14.0,Team Actions,496,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,5800.764931972789,14.0,Team Actions,497,,,,,,,,,,,,,,,Incomplete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,5806.404931943027,14.0,Team Actions,498,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5807.724931935941,14.0,Team Actions,499,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5811.444931916099,14.0,Team Actions,500,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,5814.20493190051,14.0,Team Actions,501,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,5816.604931887755,8.0,Team Actions,502,,,,,,,,,,,,,,,Incomplete,,Through,Seam 1,,,,,,,,,,,,
Individual XML,5822.954920623582,14.0,Team Actions,503,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5825.59492060941,14.0,Team Actions,504,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,5828.704909297052,14.0,Team Actions,505,,,,,,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,,,,
Individual XML,5830.144909289966,14.0,Team Actions,506,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,TURNOVER,,,
Individual XML,5833.384909271542,14.0,Team Actions,507,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5836.0249092573695,14.0,Team Actions,508,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5838.544909244614,14.0,Team Actions,509,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,5841.424909229025,14.0,Team Actions,510,,,,,,,,,,,,,,,Complete,,Neutral,Seam 1,,,,,,,,,,,,
Individual XML,5845.264909207766,14.0,Team Actions,511,,,,,,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,,,,
Individual XML,5848.624909190759,14.0,Team Actions,512,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,5852.114897949263,14.0,Team Actions,513,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,5852.954897945011,14.0,Team Actions,514,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5854.75489793509,14.0,Team Actions,515,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,5858.574886607143,14.0,Team Actions,516,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,5860.454875283447,14.0,Team Actions,517,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,SHOT ASSIST,,,,,
Individual XML,5861.774875280612,14.0,Team Actions,518,,,,,,,,,,,,,,,,,,Below,,,,,SL Zone THREE C,,SHOT,,,,,
Individual XML,5877.898163248299,14.0,Team Actions,519,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5881.258163231292,14.0,Team Actions,520,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,TURNOVER,,,
Individual XML,5885.818163205782,14.0,Team Actions,521,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Through,,,,,,,,,,,,,
Individual XML,5887.978163194444,14.0,Team Actions,522,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,5891.938163173186,14.0,Team Actions,523,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5894.818163157596,14.0,Team Actions,524,,,,,,,,,,,,,,,Complete,,Around,,,,,,,,,,,,,
Individual XML,5897.338163144841,14.0,Team Actions,525,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Neutral,,,,,,,,,,,,
Individual XML,5902.978163115079,8.0,Team Actions,526,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Around,Seam 2,,,,,,,,,,,,
Individual XML,5917.378163037131,14.0,Team Actions,527,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Around,,,,,,,,,,,,,
Individual XML,5921.818163013038,8.0,Team Actions,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5931.608151927438,8.0,Team Actions,529,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5934.368151913265,14.0,Team Actions,530,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5937.128151899093,14.0,Team Actions,531,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,5939.408151886338,14.0,Team Actions,532,,,,,,,,Fouled,,,,,,,,,,Neutral,,,,,,,,,,,,
Individual XML,6007.2775508772675,14.0,Team Actions,533,,CD Gold Zone,CO Zone TWO C,Teammate Not Found,Whipped,,,,,,,,,,,,,,,,,Set Piece,,,,,,,,
Individual XML,6012.467528314909,14.0,Team Actions,534,,CD Gold Zone,CO Zone 00 L,Teammate Not Found,Floated,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6017.467516994047,14.0,Team Actions,535,,,,,,,,,,,,,,,,,,,,,,,SL Zone ONE C,,SHOT,,,,,
Individual XML,6031.267516920351,14.0,Team Actions,536,,,,,,Ground Duel +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6033.307516909013,14.0,Team Actions,537,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,6033.857505664682,14.0,Team Actions,538,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6035.777505654762,14.0,Team Actions,539,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,6035.777505654762,14.0,Team Actions,540,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6040.217505630669,14.0,Team Actions,541,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Over,Below,,,,,,,,,,,,
Individual XML,6110.017312678571,14.0,Team Actions,542,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6121.897312614796,14.0,Team Actions,543,,,,,,,,,,,,,,,Complete,,Around,,,,,,,,,,,,,
Individual XML,6126.6973125892855,14.0,Team Actions,544,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Around,Seam 1,,,,,,,,,,,,
Individual XML,6166.5373123767,14.0,Team Actions,545,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6167.377312371032,14.0,Team Actions,546,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,TURNOVER,,,
Individual XML,6170.257312356859,14.0,Team Actions,547,,,,,,INTERCEPTION +,,,,,,,,Pass into F3,Complete,Complete,Around,,,,,,,,,,,,,
Individual XML,6173.617312338435,8.0,Team Actions,548,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,6176.977312320011,14.0,Team Actions,549,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6182.857312288832,14.0,Team Actions,550,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6185.857312273242,14.0,Team Actions,551,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,,,,
Individual XML,6190.417312247732,14.0,Team Actions,552,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,6200.261666655329,14.0,Team Actions,553,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6202.781666641156,14.0,Team Actions,554,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,6205.061666629818,14.0,Team Actions,555,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,6206.861666619898,14.0,Team Actions,556,,CD Gold Zone,CO Zone XAL,Teammate Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,SHOT ASSIST,,,,,
Individual XML,6209.481655328798,14.0,Team Actions,557,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,"SHOT ON TARGET, SHOT",,,,,
Individual XML,6220.041655274943,14.0,Team Actions,558,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6222.321655262188,14.0,Team Actions,559,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6223.881655253685,14.0,Team Actions,560,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,6224.961655248016,14.0,Team Actions,561,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6230.121655242347,14.0,Team Actions,562,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,6232.521655242347,14.0,Team Actions,563,,,,,,,,,,,,,,,Incomplete,,Through,Seam 2,,,,,,,,,,,,
Individual XML,6237.921655242347,14.0,Team Actions,564,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6240.321655242347,14.0,Team Actions,565,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,,,,
Individual XML,6244.161655242347,8.0,Team Actions,566,,,,,,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,,,,
Individual XML,6246.98164399093,14.0,Team Actions,567,,,,,,,,,,,,,,,Complete,,Through,Neutral,,,,,,,,,,,,
Individual XML,6249.621643990929,8.0,Team Actions,568,,CD Zone 00 R,CO Zone XAR,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,6268.31164399093,14.0,Team Actions,569,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,,,,,,,,,,,,,
Individual XML,6271.071643990929,14.0,Team Actions,570,,,,,,,,,,,,,,,Complete,,Neutral,Seam 2,,,,,,,,,,,,
Individual XML,6272.69164399093,14.0,Team Actions,571,,,,,,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,Neutral,,,,,,,,,,,,
Individual XML,6288.388333333333,14.0,Team Actions,572,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6290.698333333334,14.0,Team Actions,573,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6291.538333333333,14.0,Team Actions,574,,,,,,,,,,,,,,"Pass into F3, Pass into box",Complete,"Complete, Complete",Through,Below,,,,,,,,,,,,
Individual XML,6297.058333333333,14.0,Team Actions,575,,CD Black Box,CO Zone 00 L,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,6318.498333333333,14.0,Team Actions,576,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6320.8983333333335,14.0,Team Actions,577,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6322.578333333333,14.0,Team Actions,578,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,6326.058333333333,14.0,Team Actions,579,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,6328.818333333334,14.0,Team Actions,580,,CD Gold Zone,CO Zone FOUR C L,Teammate Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,6331.9383333333335,14.0,Team Actions,581,,,,,,,,,,,,,,,Incomplete,,Backwards,,,,,,,,,,,,,
Individual XML,6337.138333333333,14.0,Team Actions,582,,,,,,Ground Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6341.338333333333,14.0,Team Actions,583,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6343.378333333333,14.0,Team Actions,584,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6346.138333333333,14.0,Team Actions,585,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,6348.418333333333,14.0,Team Actions,586,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6349.378333333333,14.0,Team Actions,587,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,6351.778333333334,14.0,Team Actions,588,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Through,Seam 1,,,,,,,,,,,,
Individual XML,6368.3983333333335,14.0,Team Actions,589,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6372.4783333333335,14.0,Team Actions,590,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6374.878333333333,14.0,Team Actions,591,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,6385.078333333333,14.0,Team Actions,592,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6386.3983333333335,14.0,Team Actions,593,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
Individual XML,6389.758333333333,14.0,Team Actions,594,,,,,,,,,,,,,,Pass into box,,Incomplete,,Seam 1,,,,,,,,,,,,
Individual XML,6410.3983333333335,14.0,Team Actions,595,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Through,,,,,,,,,,,,,
Individual XML,6411.838333333333,14.0,Team Actions,596,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6413.518333333333,14.0,Team Actions,597,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6416.278333333334,14.0,Team Actions,598,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,6420.718333333333,8.0,Team Actions,599,,,,,,,,,,,,,,Pass into box,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,6424.078333333333,14.0,Team Actions,600,,CD Gold Zone,CO Zone 00 R,Teammate Found,Cut Back,,,,,,,,,,,,,Seam 3,,,,,,,SHOT ASSIST,,,,,
Individual XML,6427.198333333334,14.0,Team Actions,601,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,SHOT,,,,,
Individual XML,6468.071666666667,14.0,Team Actions,602,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6480.071666666667,14.0,Team Actions,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6484.031666666667,14.0,Team Actions,604,,CD Gold Zone,CO Zone FOUR C L,Teammate Not Found,Whipped,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6492.531666666667,14.0,Team Actions,605,,,,,,Ground Duel +,,Fouled,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6571.516666666666,14.0,Team Actions,606,,,,,,,,,,,,,,,,,,,,,,Set Piece,SL Zone THREE C,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,6701.176666666666,14.0,Team Actions,607,,,,,,,,,Loose Ball Claim,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,6710.516666666666,8.0,Team Actions,608,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,TURNOVER,,,
Individual XML,6714.296666666667,1.319999999999709,Team Actions,609,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,6716.996666666667,8.0,Team Actions,610,,,,,,Ground Duel +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6717.836666666667,14.0,Team Actions,611,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6720.4766666666665,14.0,Team Actions,612,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6724.076666666667,14.0,Team Actions,613,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6727.196666666667,14.0,Team Actions,614,,,,,,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,,,,
Individual XML,6734.996666666667,14.0,Team Actions,615,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6737.876666666667,14.0,Team Actions,616,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Neutral,,,,,,,,,,,,
Individual XML,6739.076666666667,14.0,Team Actions,617,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,6741.4766666666665,14.0,Team Actions,618,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Over,Below,,,,,,,,,,,,
Individual XML,6752.156666666667,14.0,Team Actions,619,,,,,,Ground Duel +,,,,,,,,Pass into F3,,Incomplete,,,,,,,,,,,,,,
Individual XML,6755.996666666667,14.0,Team Actions,620,,,,,,Ground Duel +,,,,,,,,Pass into F3,,Complete,,,,,,,,,,,,,,
Individual XML,6760.196666666667,8.0,Team Actions,621,,CD Zone 00 R,CO Zone XAR,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,6762.956666666667,8.0,Team Actions,622,,,,,,Ground Duel +,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6764.636666666666,14.0,Team Actions,623,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6770.756666666667,14.0,Team Actions,624,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6773.636666666666,14.0,Team Actions,625,,,,,,,,,,,,,,,Complete,,Around,Below,,,,,,,,,,,,
Individual XML,6776.3966666666665,14.0,Team Actions,626,,,,,,,,,,,,,,,Complete,,Neutral,Seam 1,,,,,,,,,,,,
Individual XML,6782.036666666667,14.0,Team Actions,627,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,,,,
Individual XML,6784.196666666667,14.0,Team Actions,628,,,,,,,,Fouled,,,,,,Pass into box,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,6786.156666666667,14.0,Team Actions,629,,CD Zone ONE C,CO Zone 00 L,Teammate Found,Cut Back,,,,,,,,,,,,,Seam 3,,,,,,,SHOT ASSIST,,,,,
Individual XML,6789.516666666666,14.0,Team Actions,630,,,,,,,,,,,,,,,,,,,,,,,SL Zone TWO C,,SHOT,,,,,
Individual XML,6817.086666666667,14.0,Team Actions,631,,,,,,INTERCEPTION +,,,,,,,,,"Complete, Complete",,Around,,,,,,,,,,,,,
Individual XML,6819.246666666667,8.0,Team Actions,632,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 1,,,,,,,,,,,,
Individual XML,6823.6866666666665,14.0,Team Actions,633,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,6829.926666666666,14.0,Team Actions,634,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6831.486666666667,14.0,Team Actions,635,,,,,,,,,,,,,,Pass into box,Complete,Complete,Through,Neutral,,,,,,,,,,,,
Individual XML,6834.486666666667,14.0,Team Actions,636,,CD Black Box,CO Zone 00 L,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 3,,,,,,,,,,,,
Individual XML,6847.086666666667,14.0,Team Actions,637,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6848.166666666667,14.0,Team Actions,638,,,,,,,,,,,,,,,Complete,,Neutral,Seam 1,,,,,,,,,,,,
Individual XML,6849.966666666666,14.0,Team Actions,639,,,,,,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,,,,
Individual XML,6851.526666666667,14.0,Team Actions,640,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6854.886666666666,14.0,Team Actions,641,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,,,,
Individual XML,6862.326666666667,8.0,Team Actions,642,,CD Gold Zone,CO Zone FOUR C R,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,6882.006666666667,14.0,Team Actions,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6884.286666666667,14.0,Team Actions,644,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6889.086666666667,14.0,Team Actions,645,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6891.846666666666,14.0,Team Actions,646,,,,,,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,,,,
Individual XML,6895.6866666666665,14.0,Team Actions,647,,,,,,,,,,,,,,Pass into F3,Incomplete,Incomplete,Over,Neutral,,,,,,,,,,,,
Individual XML,6907.6866666666665,14.0,Team Actions,648,,,,,,,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,6912.246666666667,14.0,Team Actions,649,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,6917.046666666667,8.0,Team Actions,650,,,CO Zone FOUR C R,Teammate Not Found,Whipped,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,6928.095000001,14.0,Team Actions,651,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,6930.135,14.0,Team Actions,652,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,,,,
Individual XML,6934.355,14.0,Team Actions,653,,,,,,,,,,,,,,,Complete,,Backwards,Seam 2,,,,,,,,,,,,
Individual XML,6936.71,14.0,Team Actions,654,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6940.07,8.0,Team Actions,655,,CD Gold Zone,CO Zone TWO C,Teammate Found,Floated,,,,,,,,,,,,,Seam 2,,,,,,,SHOT ASSIST,,,,,
Individual XML,6944.39,14.0,Team Actions,656,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,6961.775,14.0,Team Actions,657,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6963.695,14.0,Team Actions,658,,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6965.735,14.0,Team Actions,659,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6967.415,14.0,Team Actions,660,,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,6971.735,14.0,Team Actions,661,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,6973.175,14.0,Team Actions,662,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,6975.575,14.0,Team Actions,663,,,,,,,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,6978.695,14.0,Team Actions,664,,,,,,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,,,,
Individual XML,6986.255,14.0,Team Actions,665,,,,,,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,,,,
Individual XML,6988.295,14.0,Team Actions,666,,,,,,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,,,,
Individual XML,6991.415,14.0,Team Actions,667,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
